day, S0 -6.000000|-6.000000,S1 -6.000000|-2.000000,S2 -6.000000|2.000000,S3 -6.000000|6.000000,S4 -2.000000|-6.000000,S5 -2.000000|-2.000000,S6 -2.000000|2.000000,S7 -2.000000|6.000000,S8 2.000000|-6.000000,S9 2.000000|-2.000000,S10 2.000000|2.000000,S11 2.000000|6.000000,S12 6.000000|-6.000000,S13 6.000000|-2.000000,S14 6.000000|2.000000,S15 6.000000|6.000000
0, 6.2017879,5.6242504,5.9704747,5.7083988,5.8148727,5.2582345,5.4494448,5.4052672,5.7938790,5.1622419,5.4400792,5.3255014,6.0579820,5.6878519,5.6728845,5.9088407
1, 6.2017879,5.6242504,5.9704747,5.7083988,5.8148727,5.2582345,5.4494448,5.4052672,5.7938790,5.1622419,5.4400792,5.3255014,6.0579820,5.6878519,5.6728845,5.9088407
2, 6.2017879,5.6242504,5.9704747,5.7083988,5.8148727,5.2582345,5.4494448,5.4052672,5.7938790,5.1622419,5.4400792,5.3255014,6.0579820,5.6878519,5.6728845,5.9088407
3, 6.2017879,5.6242504,5.9704747,5.7083988,5.8148727,5.2582345,5.4494448,5.4052672,5.7938790,5.1622419,5.4400792,5.3255014,6.0579820,5.6878519,5.6728845,5.9088407
4, 6.2017879,5.6242504,5.9704747,5.7083988,5.8148727,5.2582345,5.4494448,5.4052672,5.7938790,5.1622419,5.4400792,5.3255014,6.0579820,5.6878519,5.6728845,5.9088407
5, 6.2017879,5.6242504,5.9704747,5.7083988,5.8148727,5.2582345,5.4494448,5.4052672,5.7938790,5.1622419,5.4400792,5.3255014,6.0579820,5.6878519,5.6728845,5.9088407
6, 6.2017879,5.6242504,5.9704747,5.7083988,5.8148727,5.2582345,5.4494448,5.4052672,5.7938790,5.1622419,5.4400792,5.3255014,6.0579820,5.6878519,5.6728845,5.9088407
7, 6.2017879,5.6242504,5.9704747,5.7083988,5.8148727,5.2582345,5.4494448,5.4052672,5.7938790,5.1622419,5.4400792,5.3255014,6.0579820,5.6878519,5.6728845,5.9088407
8, 6.2017879,5.6242504,5.9704747,5.7083988,5.8148727,5.2582345,5.4494448,5.4052672,5.7938790,5.1622419,5.4400792,5.3255014,6.0579820,5.6878519,5.6728845,5.9088407
9, 6.2017879,5.6242504,5.9704747,5.7083988,5.8148727,5.2582345,5.4494448,5.4052672,5.7938790,5.1622419,5.4400792,5.3255014,6.0579820,5.6878519,5.6728845,5.9088407
10, 6.2017879,5.6242504,5.9704747,5.7083988,5.8148727,5.2582345,5.4494448,5.4052672,5.7938790,5.1622419,5.4400792,5.3255014,6.0579820,5.6878519,5.6728845,5.9088407
11, 6.2017879,5.6242504,5.9704747,5.7083988,5.8148727,5.2582345,5.4494448,5.4052672,5.7938790,5.1622419,5.4400792,5.3255014,6.0579820,5.6878519,5.6728845,5.9088407
12, 6.2017879,5.6242504,5.9704747,5.7083988,5.8148727,5.2582345,5.4494448,5.4052672,5.7938790,5.1622419,5.4400792,5.3255014,6.0579820,5.6878519,5.6728845,5.9088407
13, 6.2017879,5.6242504,5.9704747,5.7083988,5.8148727,5.2582345,5.4494448,5.4052672,5.7938790,5.1622419,5.4400792,5.3255014,6.0579820,5.6878519,5.6728845,5.9088407
14, 6.2017879,5.6242504,5.9704747,5.7083988,5.8148727,5.2582345,5.4494448,5.4052672,5.7938790,5.1622419,5.4400792,5.3255014,6.0579820,5.6878519,5.6728845,5.9088407
15, 6.2017879,5.6242504,5.9704747,5.7083988,5.8148727,5.2582345,5.4494448,5.4052672,5.7938790,5.1622419,5.4400792,5.3255014,6.0579820,5.6878519,5.6728845,5.9088407
16, 6.2017879,5.6242504,5.9704747,5.7083712,5.8148727,5.2582345,5.4494448,5.4052672,5.7938790,5.1622419,5.4400539,5.3254466,6.0579820,5.6878519,5.6728678,5.9088407
17, 6.2017879,5.6242504,5.9704747,5.7083712,5.8148408,5.2582345,5.4493842,5.4052672,5.7938790,5.1622090,5.4400539,5.3254170,6.0579515,5.6878519,5.6728678,5.9088407
18, 6.2017546,5.6242237,5.9704747,5.7083669,5.8148408,5.2582016,5.4493842,5.4052482,5.7938557,5.1622090,5.4400268,5.3254170,6.0579515,5.6878519,5.6728435,5.9088407
19, 6.2017293,5.6242237,5.9704504,5.7082815,5.8148408,5.2581744,5.4493842,5.4052482,5.7938557,5.1622090,5.4399610,5.3254170,6.0579515,5.6878519,5.6728435,5.9088135
20, 6.2017293,5.6242237,5.9704185,5.7082286,5.8148408,5.2581744,5.4493608,5.4052482,5.7938323,5.1621575,5.4399338,5.3253918,6.0579515,5.6877818,5.6727958,5.9088135
21, 6.2016997,5.6241908,5.9704185,5.7081690,5.8148093,5.2581449,5.4494162,5.4052482,5.7938323,5.1621499,5.4399452,5.3253641,6.0578690,5.6877480,5.6727791,5.9087167
22, 6.2016349,5.6241326,5.9702606,5.7081404,5.8147120,5.2580276,5.4493737,5.4052482,5.7937751,5.1619349,5.4399137,5.3252859,6.0578489,5.6876569,5.6726871,5.9086266
23, 6.2015376,5.6240511,5.9701495,5.7080846,5.8146758,5.2579980,5.4491487,5.4051299,5.7937655,5.1618567,5.4398384,5.3252859,6.0576587,5.6876097,5.6726012,5.9085240
24, 6.2015386,5.6239896,5.9700484,5.7079401,5.8145003,5.2578740,5.4488301,5.4049001,5.7936187,5.1616292,5.4397435,5.3252177,6.0575404,5.6874604,5.6725359,5.9084268
25, 6.2014451,5.6238880,5.9698410,5.7078552,5.8144031,5.2577858,5.4486737,5.4046774,5.7933564,5.1614585,5.4396787,5.3250208,6.0573292,5.6874127,5.6723495,5.9081707
26, 6.2013602,5.6237035,5.9696465,5.7077007,5.8142099,5.2576399,5.4483681,5.4045563,5.7931662,5.1612625,5.4395165,5.3248439,6.0571289,5.6871386,5.6721697,5.9080353
27, 6.2010994,5.6235213,5.9694591,5.7075949,5.8140216,5.2573638,5.4481082,5.4042320,5.7930760,5.1608233,5.4392118,5.3244843,6.0568881,5.6869369,5.6719022,5.9077334
28, 6.2008567,5.6232939,5.9691830,5.7073832,5.8137298,5.2570195,5.4479008,5.4038181,5.7929029,5.1604118,5.4388905,5.3243146,6.0566344,5.6864600,5.6715021,5.9074693
29, 6.2005954,5.6230903,5.9689631,5.7069874,5.8134255,5.2566137,5.4476285,5.4033904,5.7923832,5.1599584,5.4382901,5.3239036,6.0562968,5.6863031,5.6711183,5.9072189
30, 6.2002134,5.6228199,5.9686856,5.7066779,5.8131080,5.2561226,5.4468551,5.4030352,5.7918825,5.1595945,5.4379687,5.3234453,6.0560975,5.6860337,5.6708822,5.9067073
31, 6.1997881,5.6223536,5.9682064,5.7064948,5.8125777,5.2555170,5.4462347,5.4025187,5.7916479,5.1589251,5.4373889,5.3230033,6.0556054,5.6854172,5.6703153,5.9061103
32, 6.1994152,5.6214733,5.9680023,5.7061710,5.8120608,5.2547550,5.4456410,5.4017797,5.7911983,5.1581268,5.4368410,5.3221474,6.0551867,5.6846719,5.6695910,5.9054942
33, 6.1990600,5.6208692,5.9674067,5.7056293,5.8113017,5.2540050,5.4450011,5.4013739,5.7905607,5.1573310,5.4362130,5.3216586,6.0545306,5.6835170,5.6687613,5.9050684
34, 6.1986465,5.6201544,5.9664826,5.7048120,5.8104839,5.2531276,5.4445066,5.4007144,5.7896576,5.1561961,5.4353266,5.3207045,6.0538588,5.6827993,5.6680164,5.9042411
35, 6.1975532,5.6192608,5.9656925,5.7040048,5.8099084,5.2518826,5.4435325,5.3997226,5.7889681,5.1552463,5.4341431,5.3198662,6.0529122,5.6818438,5.6671581,5.9033880
36, 6.1965628,5.6185899,5.9645519,5.7030802,5.8089652,5.2508764,5.4427967,5.3986964,5.7880650,5.1539969,5.4329500,5.3187151,6.0518551,5.6809258,5.6662302,5.9024029
37, 6.1956263,5.6174750,5.9637194,5.7018685,5.8079915,5.2494254,5.4414201,5.3975778,5.7866483,5.1525002,5.4317679,5.3174677,6.0507283,5.6797090,5.6651258,5.9013257
38, 6.1946421,5.6166840,5.9623733,5.7007647,5.8066945,5.2480474,5.4402828,5.3959856,5.7853069,5.1508904,5.4303026,5.3158913,6.0494857,5.6783285,5.6636405,5.9001808
39, 6.1934686,5.6154032,5.9611311,5.6988778,5.8052197,5.2461033,5.4383020,5.3942027,5.7836752,5.1488209,5.4285278,5.3140793,6.0480757,5.6768651,5.6620936,5.8986130
40, 6.1918244,5.6138182,5.9594011,5.6976409,5.8035655,5.2438898,5.4367495,5.3923855,5.7820382,5.1471105,5.4266410,5.3123417,6.0465989,5.6755109,5.6607003,5.8966599
41, 6.1901670,5.6120334,5.9578223,5.6954222,5.8015447,5.2418041,5.4347620,5.3906946,5.7800555,5.1445932,5.4244933,5.3106718,6.0450525,5.6735606,5.6591873,5.8950381
