day, S0 -6.000000|-6.000000,S1 -6.000000|-2.000000,S2 -6.000000|2.000000,S3 -6.000000|6.000000,S4 -2.000000|-6.000000,S5 -2.000000|-2.000000,S6 -2.000000|2.000000,S7 -2.000000|6.000000,S8 2.000000|-6.000000,S9 2.000000|-2.000000,S10 2.000000|2.000000,S11 2.000000|6.000000,S12 6.000000|-6.000000,S13 6.000000|-2.000000,S14 6.000000|2.000000,S15 6.000000|6.000000
0, 9.2235994,9.2233057,9.2228546,9.2237597,9.2234116,9.2236805,9.2229414,9.2235670,9.2233324,9.2233047,9.2231655,9.2235289,9.2237434,9.2229366,9.2237806,9.2232161
1, 9.2235994,9.2233057,9.2228546,9.2237597,9.2234116,9.2236805,9.2229414,9.2235670,9.2233324,9.2233047,9.2231655,9.2235289,9.2237434,9.2229366,9.2237806,9.2232161
2, 9.2235994,9.2233057,9.2228546,9.2237597,9.2234116,9.2236805,9.2229414,9.2235670,9.2233324,9.2233047,9.2231655,9.2235289,9.2237434,9.2229366,9.2237806,9.2232161
3, 9.2235994,9.2233057,9.2228546,9.2237597,9.2234116,9.2236805,9.2229414,9.2235670,9.2233324,9.2233047,9.2231655,9.2235289,9.2237434,9.2229366,9.2237806,9.2232161
4, 9.2235994,9.2233057,9.2228546,9.2237597,9.2234116,9.2236805,9.2229414,9.2235670,9.2233324,9.2233047,9.2231655,9.2235289,9.2237434,9.2229366,9.2237806,9.2232161
5, 9.2235994,9.2233057,9.2228546,9.2237597,9.2234116,9.2236805,9.2229414,9.2235670,9.2233324,9.2233047,9.2231655,9.2235289,9.2237434,9.2229366,9.2237806,9.2232161
6, 9.2235994,9.2233057,9.2228546,9.2237597,9.2234116,9.2236805,9.2229414,9.2235670,9.2233324,9.2233047,9.2231655,9.2235289,9.2237434,9.2229366,9.2237806,9.2232161
7, 9.2235994,9.2233057,9.2228546,9.2237597,9.2234116,9.2236805,9.2229414,9.2235670,9.2233324,9.2233047,9.2231655,9.2235289,9.2237434,9.2229366,9.2237806,9.2232161
8, 9.2235994,9.2233057,9.2228546,9.2237597,9.2234116,9.2236805,9.2229414,9.2235670,9.2233324,9.2233047,9.2231655,9.2235289,9.2237434,9.2229366,9.2237806,9.2232161
9, 9.2235994,9.2233057,9.2228546,9.2237597,9.2234116,9.2236805,9.2229414,9.2235670,9.2233324,9.2233047,9.2231655,9.2235289,9.2237434,9.2229366,9.2237806,9.2232161
10, 9.2235994,9.2233057,9.2228546,9.2237597,9.2234116,9.2236805,9.2229414,9.2235670,9.2233324,9.2233047,9.2231655,9.2235289,9.2237434,9.2229366,9.2237806,9.2232161
11, 9.2235994,9.2233057,9.2228546,9.2237597,9.2234116,9.2236805,9.2229414,9.2235670,9.2233324,9.2233047,9.2231655,9.2235289,9.2237434,9.2229366,9.2237806,9.2232161
12, 9.2235994,9.2233057,9.2228546,9.2237597,9.2234116,9.2236805,9.2229414,9.2235670,9.2233324,9.2233047,9.2231655,9.2235289,9.2237434,9.2229366,9.2237806,9.2232161
13, 9.2235994,9.2233057,9.2228546,9.2237597,9.2234116,9.2236805,9.2229414,9.2235670,9.2233324,9.2233047,9.2231655,9.2235289,9.2237434,9.2229366,9.2237806,9.2232161
14, 9.2235994,9.2233057,9.2228546,9.2237597,9.2234116,9.2236805,9.2229414,9.2235670,9.2233324,9.2233047,9.2231655,9.2235289,9.2237434,9.2229366,9.2237806,9.2232161
15, 9.2235994,9.2233057,9.2228546,9.2237597,9.2234116,9.2236805,9.2229414,9.2235670,9.2233324,9.2233047,9.2231655,9.2235289,9.2237434,9.2229366,9.2237806,9.2232161
16, 9.2235994,9.2233057,9.2228546,9.2237597,9.2234116,9.2236805,9.2229414,9.2235670,9.2233324,9.2233047,9.2231655,9.2235289,9.2237434,9.2229366,9.2237806,9.2232161
17, 9.2235994,9.2233057,9.2228546,9.2237597,9.2234116,9.2236805,9.2229414,9.2235670,9.2233324,9.2233047,9.2231655,9.2235289,9.2237434,9.2229366,9.2237806,9.2232161
18, 9.2235994,9.2233057,9.2228546,9.2237597,9.2234116,9.2236805,9.2229414,9.2235670,9.2233324,9.2233047,9.2231655,9.2235289,9.2237434,9.2229366,9.2237806,9.2232161
19, 9.2235994,9.2233057,9.2228546,9.2237597,9.2234116,9.2236805,9.2229414,9.2235670,9.2233324,9.2233047,9.2231655,9.2235289,9.2237434,9.2229366,9.2237806,9.2232161
20, 9.2235994,9.2233057,9.2228546,9.2237597,9.2234116,9.2236805,9.2229414,9.2235670,9.2233324,9.2233047,9.2231655,9.2235289,9.2237434,9.2229366,9.2237806,9.2232161
21, 9.2235994,9.2233057,9.2228546,9.2237597,9.2234116,9.2236805,9.2229414,9.2235670,9.2233324,9.2233047,9.2231655,9.2235289,9.2237434,9.2229366,9.2237806,9.2232161
22, 9.2235994,9.2233057,9.2228546,9.2237597,9.2234116,9.2236805,9.2229414,9.2235670,9.2233324,9.2233047,9.2231655,9.2235289,9.2237434,9.2229366,9.2237806,9.2232161
23, 9.2235994,9.2233057,9.2228546,9.2237597,9.2234116,9.2236805,9.2229414,9.2235670,9.2233324,9.2233047,9.2231655,9.2235289,9.2237434,9.2229366,9.2237806,9.2232161
24, 9.2235994,9.2233057,9.2228546,9.2237597,9.2234116,9.2236805,9.2229414,9.2235670,9.2233324,9.2233047,9.2231655,9.2235289,9.2237434,9.2229366,9.2237806,9.2232161
25, 9.2235994,9.2233057,9.2228546,9.2237597,9.2234116,9.2236805,9.2229414,9.2235670,9.2233324,9.2233047,9.2231655,9.2235289,9.2237434,9.2229366,9.2237806,9.2232161
26, 9.2235994,9.2233057,9.2228546,9.2237597,9.2234116,9.2236805,9.2229414,9.2235670,9.2233324,9.2233047,9.2231655,9.2235289,9.2237434,9.2229366,9.2237806,9.2232161
27, 9.2235994,9.2233057,9.2228546,9.2237597,9.2234116,9.2236805,9.2229414,9.2235670,9.2233324,9.2233047,9.2231655,9.2235289,9.2237434,9.2229366,9.2237806,9.2232161
