day, time (s), S0 -6.000000|-6.000000,S1 -6.000000|-2.000000,S2 -6.000000|2.000000,S3 -6.000000|6.000000,S4 -2.000000|-6.000000,S5 -2.000000|-2.000000,S6 -2.000000|2.000000,S7 -2.000000|6.000000,S8 2.000000|-6.000000,S9 2.000000|-2.000000,S10 2.000000|2.000000,S11 2.000000|6.000000,S12 6.000000|-6.000000,S13 6.000000|-2.000000,S14 6.000000|2.000000,S15 6.000000|6.000000
0, 0, 0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
0, 3600, 0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
0, 7200, 0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
0, 10800, 0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
0, 14400, 0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
0, 18000, 0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
0, 21600, 0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
0, 25200, 0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
0, 28800, 0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
0, 32400, 1.6928711,1.6923828,1.6948242,1.6928711,1.6923828,1.6923828,1.6928711,1.6948242,1.6918945,1.6928711,1.6918945,1.6923828,1.6938477,1.6923828,1.6923828,1.6923828
0, 36000, 3.1757813,3.1767578,3.1757813,3.1762695,3.1757813,3.1757813,3.1757813,3.1762695,3.1762695,3.1767578,3.1762695,3.1757813,3.1757813,3.1757813,3.1762695,3.1767578
0, 39600, 4.1083984,4.1083984,4.1093750,4.1074219,4.1088867,4.1079102,4.1083984,4.1079102,4.1083984,4.1083984,4.1083984,4.1088867,4.1088867,4.1083984,4.1079102,4.1088867
0, 43200, 4.4189453,4.4189453,4.4189453,4.4189453,4.4189453,4.4189453,4.4189453,4.4189453,4.4189453,4.4189453,4.4189453,4.4189453,4.5073242,4.5073242,4.5073242,4.5073242
0, 46800, 4.1074219,4.1093750,4.1083984,4.1083984,4.1079102,4.1083984,4.1079102,4.1088867,4.1088867,4.1083984,4.1083984,4.1083984,4.1088867,4.1079102,4.1083984,4.1088867
0, 50400, 3.1762695,3.1757813,3.1767578,3.1757813,3.1762695,3.1757813,3.1757813,3.1757813,3.1757813,3.1762695,3.1767578,3.1762695,3.1767578,3.1762695,3.1757813,3.1757813
