day, time (s), S0 -6.000000|-6.000000,S1 -6.000000|-2.000000,S2 -6.000000|2.000000,S3 -6.000000|6.000000,S4 -2.000000|-6.000000,S5 -2.000000|-2.000000,S6 -2.000000|2.000000,S7 -2.000000|6.000000,S8 2.000000|-6.000000,S9 2.000000|-2.000000,S10 2.000000|2.000000,S11 2.000000|6.000000,S12 6.000000|-6.000000,S13 6.000000|-2.000000,S14 6.000000|2.000000,S15 6.000000|6.000000
0, 0, 0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
0, 3600, 0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
0, 7200, 0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
0, 10800, 0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
0, 14400, 0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
0, 18000, 0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
0, 21600, 0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
0, 25200, 0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
0, 28800, 0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
0, 32400, 1.6762695,1.4169922,1.6757813,1.4165039,1.4692383,1.3496094,1.4667969,1.3510742,1.3813477,1.1884766,1.3793945,1.3569336,1.2705078,1.0776367,1.3823242,1.3598633
0, 36000, 3.1621094,2.7202148,3.1611328,2.7197266,3.0971680,2.3759766,3.0971680,2.3730469,2.7260742,2.3198242,2.7255859,2.3217773,1.6108398,2.1977539,1.6264648,2.3076172
0, 39600, 4.0820313,3.5942383,4.0844727,3.5952148,4.0800781,3.1333008,4.0805664,3.1357422,4.0507813,2.2724609,4.0541992,2.2900391,3.9833984,1.3413086,3.9799805,1.3530273
0, 43200, 4.2392578,4.3007813,4.2392578,4.3007813,4.2114258,4.3007813,4.2089844,4.3007813,3.4575195,4.1645508,3.4599609,4.1640625,2.8715820,4.0864258,2.8618164,4.0883789
0, 46800, 3.5859375,4.0903320,3.5839844,4.0878906,3.1230469,4.0844727,3.1181641,4.0839844,2.4477539,3.6806641,2.4370117,3.6679688,1.8530273,3.1752930,1.8383789,3.1582031
0, 50400, 2.7143555,3.1635742,2.7148438,3.1640625,2.3789063,3.0874023,2.3798828,3.0849609,2.3579102,2.7314453,2.3193359,2.7304688,2.3608398,2.1508789,1.7016602,2.1528320
